,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
74,Fukuoka Hana Hostel,Fukuoka-City,2500,0.8km from city centre,9,Superb,8.3,9.2,8.8,9.5,9,9.3,9,130.4097719,33.5926482
75,Funtoco Backpackers Namba,Osaka,2300,5.5km from city centre,9.3,Superb,8.9,9.6,9,9,9.5,10,9.4,135.503623,34.656784
76,Gion Ryokan Q-beh,Kyoto,2800,1.5km from city centre,9.5,Superb,9,9.8,9.5,9.8,9.3,9.5,9.6,135.7795363,35.0014418
77,Goen Lounge＆Stay,Osaka,2000,18.2km from city centre,8.9,Fabulous,8,10,10,6,8,10,10,135.6505111,34.815565
78,Gojo Guest House,Kyoto,2000,1.9km from city centre,9.5,Superb,9.6,9.5,8.8,9.6,9.3,10,9.8,135.7722097,34.9954879
79,Gojo Guesthouse - Annex,Kyoto,2500,1.7km from city centre,9.6,Superb,8.7,10,9.3,9.3,10,10,10,135.775803,34.998209
80,Good Diner Inn Copain,Tokyo,3300,5.6km from city centre,9.1,Superb,9.5,9.5,9.5,8,9,10,8.5,139.7182582,35.7346756
81,Grids Kyoto Shijo Kawaramachi Hotel & Hostel,Kyoto,1800,1km from city centre,9.7,Superb,8.9,10,9.5,10,10,9.8,9.8,135.764823,35.004678
82,GRIDS TOKYO AKIHABARA HOTEL&HOSTEL,Tokyo,2400,8km from city centre,8.7,Fabulous,7.8,9.4,8.7,8.7,8.8,8.7,8.7,139.780326,35.696562
83,Grids Tokyo Asakusa-Bashi Hotel&Hostel,Tokyo,2200,8.3km from city centre,9,Superb,7.9,9.6,9,8.7,9.5,9.5,8.9,139.780326,35.696562
84,GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL,Tokyo,2400,8.3km from city centre,8.3,Fabulous,6.7,9.3,8.7,9.3,9.3,7.3,7.3,139.783943,35.690286
85,Guest House Bola-Bola,Kyoto,2700,6.1km from city centre,9.4,Superb,9.3,9.9,9,8.8,9.4,9.9,9.4,135.7015683,35.0147747
86,Guest House Com Inn Hiroshima,Hiroshima,2900,2.5km from city centre,8.9,Fabulous,7.3,10,8,8,10,10,8.7,132.443757,34.405665
87,Guest House Denchi,Tokyo,3600,9.2km from city centre,8.9,Fabulous,8,10,6,8,10,10,10,139.7895455,35.7128268
88,Guest House Ga-Jyun,Kyoto,2000,1.4km from city centre,9.6,Superb,9.6,9.7,9.4,9.4,9.4,9.9,9.9,135.7833531,35.009131
89,Guest House Hachi,Kyoto,3200,3.2km from city centre,10,Superb,10,10,10,10,10,10,10,135.7435285,34.9915805
