ResourceType      Locations           Name                    Zones    Restrictions
----------------  ------------------  ----------------------  -------  --------------
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Standard_LRS            1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              Premium_LRS             1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              StandardSSD_LRS         1,2,3    None
disks             eastus              UltraSSD_LRS            1,2,3    None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Standard_LRS                     None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      Premium_LRS                      None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      StandardSSD_LRS                  None
disks             northcentralus      UltraSSD_LRS                     None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Standard_LRS            1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      Premium_LRS             1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      StandardSSD_LRS         1,2,3    None
disks             southcentralus      UltraSSD_LRS            3        None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
disks             westus              Standard_LRS                     None
